,user,text,favorite_count,retweet_count,created_at
138,elonmusk,Starship Liftoff https://t.co/7WLZcBCLRB https://t.co/X4DBvFMMrr,517854,26624,2023-04-20 21:50:10+00:00
139,elonmusk,Starship Supersonic https://t.co/twI9eqLFs1,486753,29863,2023-04-20 21:49:51+00:00
140,elonmusk,@NASAExoplanets Interesting theory,3691,263,2023-04-20 21:43:28+00:00
141,elonmusk,@lindayacc @PossibleEvent Thanks for having me,8218,574,2023-04-20 21:06:23+00:00
142,elonmusk,@SenBillNelson @SpaceX Thank you on behalf of the SpaceX team,23073,1066,2023-04-20 17:08:51+00:00
143,elonmusk,@krassenstein Thanks on behalf of the SpaceX team!,19551,1017,2023-04-20 17:06:24+00:00
144,elonmusk,@airandspace @SpaceX Thank you for your kind words on behalf of the SpaceX team!,58212,3211,2023-04-20 17:04:17+00:00
145,elonmusk,https://t.co/vX3M7B3J1G,841442,76622,2023-04-20 14:09:14+00:00
146,elonmusk,"Congrats @SpaceX team on an exciting test launch of Starship!

Learned a lot for next test launch in a few months. https://t.co/gswdFut1dK",503224,45058,2023-04-20 14:00:05+00:00
147,elonmusk,T-0 in 4 mins https://t.co/LIMFFjQwXz,302580,18109,2023-04-20 13:24:20+00:00
148,elonmusk,@EdKrassen @SpaceX Thanks!,2475,121,2023-04-20 13:20:24+00:00
149,elonmusk,10 minutes to launch https://t.co/To555HzMKB,90327,9130,2023-04-20 13:17:49+00:00
150,elonmusk,Starship on track to launch in ~37 mins,163778,13233,2023-04-20 12:50:51+00:00
151,elonmusk,@jana84818846 People for scale,23448,939,2023-04-20 10:11:52+00:00
152,elonmusk,@StephenKing Evil Dead 2,4576,319,2023-04-20 09:57:42+00:00
153,elonmusk,@Scobleizer chief nothing officer,45053,2142,2023-04-20 09:56:43+00:00
154,elonmusk,@westcoastbill Software update next week will allow the princely size of 5GB! 😂,13879,857,2023-04-20 05:25:16+00:00
155,elonmusk,@alx 🔥🤣,25669,1182,2023-04-20 04:48:00+00:00
156,elonmusk,All systems currently green for launch https://t.co/VxZOEaD652,165916,16387,2023-04-20 04:13:52+00:00
157,elonmusk,@verified Tomorrow is shaping up to be quite the day!,30727,2372,2023-04-20 04:08:58+00:00
158,elonmusk,@alx Heck of a coincidence!,15288,807,2023-04-20 04:06:40+00:00
159,elonmusk,@stevenmarkryan (This will be fixed),2891,145,2023-04-20 03:49:38+00:00
160,elonmusk,"@stevenmarkryan There is a roughly 2 GB (compressed) file size limit, so uploading at 720p resolution should work",5234,359,2023-04-20 03:49:24+00:00
161,elonmusk,@WilliamShatner You will always be my captain,6953,360,2023-04-20 03:44:38+00:00
162,elonmusk,@stevenmarkryan Why not upload to Twitter subscribers?,13423,755,2023-04-20 01:14:52+00:00
163,elonmusk,@SmokeAwayyy https://t.co/jZKS3DNBkp,67542,2589,2023-04-20 00:22:39+00:00
164,elonmusk,@shellenberger Odd,16115,1374,2023-04-20 00:04:41+00:00
165,elonmusk,@cb_doge One day,33906,1762,2023-04-20 00:02:54+00:00
166,elonmusk,@ExplainThisBob I love Bob,4636,266,2023-04-19 21:04:30+00:00
167,elonmusk,"@krassenstein @TitterDaily I’m open to ideas, but ripping off the Twitter database, demonetizing it (removing ads) and then selling our data to others isn’t a winning solution",12194,712,2023-04-19 21:01:24+00:00
168,elonmusk,@TheRabbitHole84 @jonesville Very rapid increase!,12793,1088,2023-04-19 20:54:27+00:00
169,elonmusk,@_Escapekey_ @DrAseemMalhotra !!,1608,129,2023-04-19 20:48:39+00:00
170,elonmusk,@DrAseemMalhotra Why did they do that?,56395,5140,2023-04-19 20:48:03+00:00
171,elonmusk,@DrJBhattacharya They should at least have mentioned that the clinical trials didn’t check for transmission-blocking,60358,7988,2023-04-19 20:45:47+00:00
172,elonmusk,@TrungTPhan Wow,7680,355,2023-04-19 20:34:56+00:00
173,elonmusk,@MattWallace888 Exactly,7728,579,2023-04-19 20:30:17+00:00
174,elonmusk,@JonErlichman Baby me,59535,3008,2023-04-19 20:29:05+00:00
175,elonmusk,@TitterDaily They trained illegally using Twitter data. Lawsuit time.,221293,19911,2023-04-19 20:25:41+00:00
176,elonmusk,"@ToscaMusk @mayemusk Happy birthday, Love E!",28051,1363,2023-04-19 17:22:17+00:00
177,elonmusk,@TrevorMahlmann Big boy,39938,1707,2023-04-19 14:51:22+00:00
178,elonmusk,@MattWallace888 Absolutely,210494,10761,2023-04-19 14:34:31+00:00
