,user,text,favorite_count,retweet_count,created_at
159,elonmusk,@alx Heck of a coincidence!,15288,807,2023-04-20 04:06:40+00:00
160,elonmusk,@stevenmarkryan (This will be fixed),2891,145,2023-04-20 03:49:38+00:00
161,elonmusk,"@stevenmarkryan There is a roughly 2 GB (compressed) file size limit, so uploading at 720p resolution should work",5234,359,2023-04-20 03:49:24+00:00
162,elonmusk,@WilliamShatner You will always be my captain,6953,360,2023-04-20 03:44:38+00:00
163,elonmusk,@stevenmarkryan Why not upload to Twitter subscribers?,13423,755,2023-04-20 01:14:52+00:00
164,elonmusk,@SmokeAwayyy https://t.co/jZKS3DNBkp,67542,2589,2023-04-20 00:22:39+00:00
165,elonmusk,@shellenberger Odd,16115,1374,2023-04-20 00:04:41+00:00
166,elonmusk,@cb_doge One day,33906,1762,2023-04-20 00:02:54+00:00
167,elonmusk,@ExplainThisBob I love Bob,4636,266,2023-04-19 21:04:30+00:00
168,elonmusk,"@krassenstein @TitterDaily I’m open to ideas, but ripping off the Twitter database, demonetizing it (removing ads) and then selling our data to others isn’t a winning solution",12194,712,2023-04-19 21:01:24+00:00
169,elonmusk,@TheRabbitHole84 @jonesville Very rapid increase!,12793,1088,2023-04-19 20:54:27+00:00
170,elonmusk,@_Escapekey_ @DrAseemMalhotra !!,1608,129,2023-04-19 20:48:39+00:00
171,elonmusk,@DrAseemMalhotra Why did they do that?,56395,5140,2023-04-19 20:48:03+00:00
172,elonmusk,@DrJBhattacharya They should at least have mentioned that the clinical trials didn’t check for transmission-blocking,60358,7988,2023-04-19 20:45:47+00:00
173,elonmusk,@TrungTPhan Wow,7680,355,2023-04-19 20:34:56+00:00
174,elonmusk,@MattWallace888 Exactly,7728,579,2023-04-19 20:30:17+00:00
175,elonmusk,@JonErlichman Baby me,59537,3008,2023-04-19 20:29:05+00:00
176,elonmusk,@TitterDaily They trained illegally using Twitter data. Lawsuit time.,221293,19911,2023-04-19 20:25:41+00:00
177,elonmusk,"@ToscaMusk @mayemusk Happy birthday, Love E!",28051,1363,2023-04-19 17:22:17+00:00
178,elonmusk,@TrevorMahlmann Big boy,39938,1707,2023-04-19 14:51:22+00:00
179,elonmusk,@MattWallace888 Absolutely,210493,10762,2023-04-19 14:34:31+00:00
